system:index,CD_GEOCMU,NM_MUNICIP,sum,.geo
0000753834a805479cce,3118304,CONSELHEIRO LAFAIETE,3.7017247905716926E8,
00008dfc49ad563d4faf,3153806,QUELUZITO,1.5350573551047787E8,
00008f5ab7bf718368aa,3120409,CRISTIANO OTONI,1.3283908061727941E8,
0000bc244d1e776975a8,3114907,CASA GRANDE,1.5768955226305148E8,
0000dc30fad7b957cfc6,3113206,CARANDAÍ,4.872055662176476E8,
00007e60919f232b9338,3113107,CARANAÍBA,1.5998515940232852E8,
0000972237c1b798b042,3154408,RESSAQUINHA,1.8297022038970587E8,
0000267b38b17a02f8aa,3101631,ALFREDO VASCONCELOS,1.307953341263481E8,
0000cb653a4084dc73c3,3105608,BARBACENA,7.590154314861523E8,
000004843bee1fba2865,3105905,BARROSO,8.203455327855384E7,
000008a5eded10d20b33,3123007,DORES DE CAMPOS,1.2485429015355393E8,
000014663140f59ba279,3152709,PRADOS,2.640386463735907E8,
000039c646d91fe616ff,3168804,TIRADENTES,8.299994842089461E7,
00000b8483cc731f268b,3119708,CORONEL XAVIER CHAVES,1.409163019234681E8,
00005429d03af8da119c,3157336,SANTA CRUZ DE MINAS,3578765.754779412,
0000408feafdc74348da,3145703,OLIVEIRA FORTES,1.1111174127058828E8,
00009a85c340614352d1,3103306,ARACITABA,1.0660710505128676E8,
00009585ffce9fc89959,3157302,SANTA BÁRBARA DO TUGÚRIO,1.9459029697879896E8,
0000c004ef09e9ab5ab8,3166204,SENHORA DOS REMÉDIOS,2.378465065498775E8,
0000d600494df18f4311,3121506,DESTERRO DO MELO,1.4217749653590676E8,
00003baff774e64d9d2c,3102100,ALTO RIO DOCE,5.179286073980394E8,
0000f5ebfc0bd43c8191,3146602,PAIVA,5.8366560096936285E7,
000055b3be5d3ea85e13,3167905,TABULEIRO,2.1098654624620098E8,
00002938ff1101e3f9c4,3141603,MERCÊS,3.4826725391942376E8,
00003a3f4af2bd8dade2,3155801,RIO POMBA,2.524831223374389E8,
0000881147225d31274d,3167301,SILVEIRÂNIA,1.574410815862132E8,
0000d41ac2a92e30e3e8,3128402,GUARANI,2.6409055431237757E8,
000070063c4208b76634,3155405,RIO NOVO,2.0926397947352937E8,
0000b199187b1d06450a,3150109,PIAU,1.9219462934883574E8,
00004f84b708528f72d9,3127388,GOIANÁ,1.519934442612746E8,
0000ffa70263574dfb6d,3119609,CORONEL PACHECO,1.3151862888468139E8,
0000a6d82e0dd84e940f,3162906,SÃO JOÃO NEPOMUCENO,4.0738210292904407E8,
00006b74a042f9d76d49,3156205,ROCHEDO DE MINAS,7.936567347230391E7,
000047614af1fc8dd4b7,3140209,MARIPÁ DE MINAS,7.734718333235295E7,
00009c40065d7d18b0c5,3121308,DESCOBERTO,2.1312260961066175E8,
00006f27d5cab5668a76,3138401,LEOPOLDINA,9.430155254952211E8,
00001a498710f434a7d8,3104403,ARGIRITA,1.5934156445214456E8,
00002967e8a7d1734f73,3160009,SANTO ANTÔNIO DO AVENTUREIRO,2.019489741899511E8,
00009450e0c890e1228f,3172103,VOLTA GRANDE,2.0547122500257367E8,
000041108363017b1393,3124609,ESTRELA DALVA,1.3131760159056365E8,
000000f62f5a70853e20,3132602,ITAMARATI DE MINAS,9.449806066495098E7,
00000d1d087f3fbdfc95,3104601,ASTOLFO DUTRA,1.5893718978247553E8,
00009220a8f42fea43e5,3115300,CATAGUASES,4.9166058861911786E8,
000008815fe40dc1920b,3154101,RECREIO,2.342926090584558E8,
000068a22ce34b7bfabb,3158409,SANTANA DE CATAGUASES,1.6149015774436274E8,
0000a7a6215e40967ed1,3128808,GUIDOVAL,1.58282002566973E8,
0000eeaae638c068a130,3122900,DONA EUSÉBIA,7.019752736911765E7,
0000d4bf645a64a03013,3156304,RODEIRO,7.267273061078434E7,
0000c1b7b7f0eae8331a,3169901,UBÁ,4.074326749048407E8,
0000d97bdaa0df1a87bb,3151305,PIRAÚBA,1.4423936169620112E8,
00008d8431744c142b51,3169000,TOCANTINS,1.7381306046703434E8,
00002e973e4701482bb0,3123304,DORES DO TURVO,2.3113289667689946E8,
0000fd0b638ae3e823c5,3121902,DIVINÉSIA,1.1692826743026954E8,
00000fac645c1eaeb101,3165701,SENADOR FIRMINO,1.66463646809804E8,
0000350832c3ef4e6ecc,3108701,BRÁS PIRES,2.233507439747548E8,
00009ee6a3818a503aa6,3153103,PRESIDENTE BERNARDES,2.3678080933094376E8,
0000cf002e7619fd68ed,3148301,PAULA CÂNDIDO,2.6826370206783086E8,
0000217d958527ff113a,3172004,VISCONDE DO RIO BRANCO,2.4328980458566183E8,
00001da7c7c70e724f03,3161502,SÃO GERALDO,1.8559694540851712E8,
0000620e50aa53cfdd06,3129004,GUIRICEMA,2.935773504440562E8,
0000d574aa9a6308ac4c,3142205,MIRAÍ,3.207027402162992E8,
0000a072fbd9e4a37724,3164431,SÃO SEBASTIÃO DA VARGEM ALEGRE,7.357892094914216E7,
0000f2e9c72e14f26a91,3143906,MURIAÉ,8.415358788640934E8,
0000d5d98f6b68c1ecac,3156452,ROSÁRIO DA LIMEIRA,1.1113320794185057E8,
0000f0a7de39532c6688,3116704,COIMBRA,1.0685129990073532E8,
0000f5e1aebe5c815abb,3171303,VIÇOSA,2.9937207890772074E8,
0000d3a2827e09d0f167,3110202,CAJURI,8.301664270851716E7,
0000521bb849f959a44c,3163805,SÃO MIGUEL DO ANTA,1.520978639806985E8,
0000a9261e241578e72d,3124005,ERVÁLIA,3.57426557774816E8,
0000e67b2207ae582db9,3111705,CANAÃ,1.7480905386452204E8,
0000c8690252f5f1ea16,3103702,ARAPONGA,3.037805544691786E8,
0000ee698760eb409201,3148806,PEDRA DO ANTA,1.731542346514708E8,
0000d8aa45e8ba540657,3168507,TEIXEIRAS,1.6668662480312482E8,
0000e9f099e5c252d253,3128204,GUARACIABA,3.485527457980393E8,
000005939cf0cb70a8f5,3152303,PORTO FIRME,2.8471282592757326E8,
000017717dad91b995a3,3150802,PIRANGA,6.587678290004287E8,
0000f50c9648f5e82840,3121704,DIOGO DE VASCONCELOS,1.6505346108639714E8,
0000b4a296db9e4bc807,3140001,MARIANA,1.1940911859667902E9,
0000a3df77ef73872119,3115409,CATAS ALTAS DA NORUEGA,1.4157670925300243E8,
00001631eed6c21e593e,3137908,LAMIM,1.1852530744289212E8,
000007a4d6044563d9d1,3166006,SENHORA DE OLIVEIRA,1.7074218096905643E8,
0000d107baea32b2b730,3116308,CIPOTÂNEA,1.534817722790441E8,
